Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
686b7919e49534d0a70cd895,665af670c32544bf63236164,APPROVED,Not Applicable,2025-07-07T07:37:04.277000Z,2025-07-07T07:41:14.982000Z,2025-07-07T07:41:25.558000Z,2025-07-07T07:41:15.397872Z,251.0,CP2ZDXDH,1354,43,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
686b791a5928d628a3cef803,66d31a1b0515fe747830bab9,APPROVED,Not Applicable,2025-07-07T07:37:19.529000Z,2025-07-07T07:41:44.635000Z,2025-07-07T07:42:10.359000Z,2025-07-07T07:41:45.111393Z,266.0,CP2ZDXDH,1835,60,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
686b791acddb101a06ae3002,66b934ae018a8555768a3ecc,APPROVED,Not Applicable,2025-07-07T07:37:52.214000Z,2025-07-07T07:41:03.165000Z,2025-07-07T07:41:13.734000Z,2025-07-07T07:41:03.582416Z,191.0,CP2ZDXDH,379,46,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
686b791b89755a642bd60f08,595ef356d6b02c00014392fb,APPROVED,Not Applicable,2025-07-07T07:37:03.760000Z,2025-07-07T07:40:47.074000Z,2025-07-07T07:41:02.678000Z,2025-07-07T07:40:47.499840Z,224.0,CP2ZDXDH,180,27,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
686b791b91034fe48052bb96,681e539ffde759ea416d4e94,APPROVED,Not Applicable,2025-07-07T07:37:06.790000Z,2025-07-07T07:44:27.870000Z,2025-07-07T07:44:33.429000Z,2025-07-07T07:44:28.300890Z,442.0,CP2ZDXDH,126,51,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
686b791c82cc03421255cec0,6773be8d69dba9ebba4102f4,APPROVED,Not Applicable,2025-07-07T07:37:00.327000Z,2025-07-07T07:40:41.855000Z,2025-07-07T07:40:42.424000Z,2025-07-07T07:40:42.529300Z,222.0,CP2ZDXDH,351,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
686b791c89c9e852204bfefa,6458fe267afe71c7aa4de260,APPROVED,Not Applicable,2025-07-07T07:37:06.330000Z,2025-07-07T07:41:39.637000Z,2025-07-07T07:42:05.292000Z,2025-07-07T07:41:40.058821Z,274.0,CP2ZDXDH,1501,42,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
686b791de12437e8d3c92b5b,5f985f3a4bc1cf120675f408,APPROVED,Not Applicable,2025-07-07T07:37:05.416000Z,2025-07-07T07:46:08.622000Z,2025-07-07T07:46:14.203000Z,2025-07-07T07:46:09.064263Z,544.0,CP2ZDXDH,2228,49,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
686b791dfca208ef6c44f780,627e7e91d0e389328983e765,APPROVED,Not Applicable,2025-07-07T07:37:01.984000Z,2025-07-07T07:40:56.564000Z,2025-07-07T07:41:02.286000Z,2025-07-07T07:40:56.975331Z,235.0,CP2ZDXDH,2484,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
686b791f31b127a1d147cf09,6543abc4a891f67206a11481,APPROVED,Not Applicable,2025-07-07T07:37:15.379000Z,2025-07-07T07:40:42.215000Z,2025-07-07T07:40:44.475000Z,2025-07-07T07:40:42.617891Z,207.0,CP2ZDXDH,664,58,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
686b791f5b90da6f3acc5df5,5caccbc4976d010014b9cd9d,APPROVED,Not Applicable,2025-07-07T07:37:09.481000Z,2025-07-07T07:41:40.272000Z,2025-07-07T07:41:50.857000Z,2025-07-07T07:41:40.713015Z,271.0,CP2ZDXDH,3968,39,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
